City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1580,Iralaya,HN,80.37,few clouds,15.0,-83.2333,Iglesia morava renovada
1585,Pochutla,MX,85.82,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
1586,Guane,CU,80.44,clear sky,22.2025,-84.0875,base de Campismo LosPortales de Guane
1592,San Juan De Los Morros,VE,86.29,overcast clouds,9.9115,-67.3538,Hotel La Montaña
1604,Mayor Pablo Lagerenza,PY,81.0,broken clouds,-19.9309,-60.7718,
1626,Formosa Do Rio Preto,BR,80.15,broken clouds,-11.0483,-45.1931,Porto Center Hotel
1657,Nanakuli,US,81.03,light intensity drizzle,21.3906,-158.1547,Camp Pālehua
1667,Benemerito De Las Americas,MX,81.14,broken clouds,16.5167,-90.6439,Hotel Fontera Sur
1674,Aldama,MX,80.49,clear sky,22.9167,-98.0667,CASA CANYE
1684,Tchamba,TG,83.71,scattered clouds,9.0333,1.4167,ROYAL HOTEL TCHAMBA
1690,Kibala,TD,83.16,broken clouds,9.1104,18.3463,hotel safari
1692,Olinda,BR,82.13,broken clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
1693,Arawa,PG,84.45,overcast clouds,-6.2132,155.5367,Coastline Guest House
1704,Brownsville,US,80.6,clear sky,25.9018,-97.4975,Best Western Hotel Plaza Matamoros
1765,Funadhoo,MV,82.33,few clouds,6.15,73.2667,Dhaffalhu Tourist Lodge
1773,Marakkanam,IN,80.83,few clouds,12.2,79.95,Samvasa by the Sea
1774,San Lazaro,BZ,80.56,overcast clouds,18.0387,-88.6622,
1784,Kintampo,GH,86.29,few clouds,8.0563,-1.7306,Adomaa Memorial Hotel
1789,Bac Lieu,VN,80.91,broken clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
1792,San Nicolas,PH,81.41,clear sky,18.1725,120.5953,NORTHVIEW Hotel
1797,Alibag,IN,80.67,clear sky,18.6411,72.8792,"Radisson Blu Resort & Spa - Alibaug, India"
1808,Varzelandia,BR,81.36,moderate rain,-15.7014,-44.0275,Pousada Portal da Cidade
1809,Popondetta,PG,81.72,overcast clouds,-8.7537,148.2534,Timos Transit House
1810,Kathu,TH,86.7,clear sky,7.9178,98.3332,Novotel Phuket Resort
1825,Male,MV,81.93,broken clouds,4.1748,73.5089,Hotel Octave Maldives
1834,Filingue,NE,81.75,clear sky,14.3521,3.3168,
1857,Nong Bua,TH,86.9,few clouds,15.8646,100.5858,ลภัสรดารีสอร์ท
1868,Sulangan,PH,80.6,scattered clouds,11.1373,123.7228,Maia's Beach Resort
1870,Koumra,TD,82.06,scattered clouds,8.9126,17.5539,Yamtoide house koumra
1883,Bousso,TD,83.08,few clouds,10.4795,16.7117,
1885,Altar,MX,88.11,broken clouds,30.7,-111.8167,Hotel Maria Elena
1886,Gambela,ET,81.61,clear sky,8.25,34.5833,Solomon Debebe Hotel
1892,Osmena,PH,81.9,broken clouds,10.5208,119.9258,Arjemarkyza Lodge
1896,Dubti,ET,83.98,broken clouds,11.7361,41.0853,degu Shiferaw
1901,Koumac,NC,82.83,scattered clouds,-20.5667,164.2833,Le Monitel
1919,Ghotki,PK,81.18,clear sky,28.006,69.3161,BISMILLAH HOTAL $ CHAI
1930,Tiarei,PF,86.02,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
1936,Wawa,NG,85.42,few clouds,9.9022,4.4192,
1941,Ziniare,BF,86.83,scattered clouds,12.5822,-1.2983,Privilège Hôtel de Ziniaré
1947,Nicoya,CR,89.35,overcast clouds,10.1483,-85.452,Las Cabinas Del Sueño
1960,Socorro,US,87.28,broken clouds,31.6546,-106.3033,guarderia imss papalote
