City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Country,Date
187,De-Kastri,51.4667,140.7833,19.4,77,100,17.76,overcast clouds,RU,2022-03-27 22:53:08
188,Marzuq,14.4,46.4667,65.12,29,5,3.49,clear sky,YE,2022-03-27 22:53:09
189,Mongu,-15.2484,23.1274,68.49,83,73,3.02,broken clouds,ZM,2022-03-27 22:53:09
190,Fortuna,40.5982,-124.1573,65.93,71,0,9.22,clear sky,US,2022-03-27 22:49:13
191,Lagoa,39.05,-27.9833,58.73,85,99,10.63,overcast clouds,PT,2022-03-27 22:50:34
192,Itaituba,-4.2761,-55.9836,76.28,97,90,1.3,overcast clouds,BR,2022-03-27 22:53:10
193,Kulebaki,55.4133,42.5325,20.34,87,100,12.84,overcast clouds,RU,2022-03-27 22:53:10
194,Yellowknife,62.456,-114.3525,18.41,57,20,5.75,few clouds,CA,2022-03-27 22:53:11
195,Mayumba,-3.432,10.6554,79.61,91,82,2.44,light rain,GA,2022-03-27 22:53:11
196,Luoyang,34.6836,112.4536,47.16,45,87,3.42,overcast clouds,CN,2022-03-27 22:53:11
197,East London,-33.0153,27.9116,70.54,81,76,19.39,broken clouds,ZA,2022-03-27 22:53:12
198,Nishihara,26.1842,127.7558,62.26,81,75,14.97,broken clouds,JP,2022-03-27 22:53:13
199,Takanabe,32.1333,131.5,57.09,65,100,3.29,light rain,JP,2022-03-27 22:53:13
200,Bandarbeyla,9.4942,50.8122,77.56,71,4,10.54,clear sky,SO,2022-03-27 22:53:14
201,Chuncheng,22.1731,111.7886,62.42,86,100,5.75,light rain,CN,2022-03-27 22:53:14
202,Lorengau,-2.0226,147.2712,82.81,75,96,5.3,overcast clouds,PG,2022-03-27 22:53:14
203,Mahebourg,-20.4081,57.7,77.29,88,40,2.3,scattered clouds,MU,2022-03-27 22:53:15
204,Lohkva,58.3721,26.7943,28.53,69,100,18.41,overcast clouds,EE,2022-03-27 22:53:15
205,Raudeberg,61.9875,5.1352,44.87,90,98,22.41,overcast clouds,NO,2022-03-27 22:53:16
206,Sao Joao Da Barra,-21.6403,-41.0511,77.77,90,0,11.18,clear sky,BR,2022-03-27 22:53:16
207,Klecany,50.176,14.4115,49.77,64,0,3.44,clear sky,CZ,2022-03-27 22:53:16
208,Vardo,70.3705,31.1107,26.55,51,100,7.47,light snow,NO,2022-03-27 22:53:17
209,Roebourne,-20.7833,117.1333,81.01,65,100,7.25,light rain,AU,2022-03-27 22:53:17
210,Bentiu,9.2333,29.8333,81.3,14,25,5.46,scattered clouds,SS,2022-03-27 22:53:17
